iter	Passed	Remaining
0	1	101
1	1	63
2	1	51
3	1	43
4	2	39
5	2	36
6	2	36
7	2	34
8	3	33
9	3	32
10	3	31
11	4	30
12	4	29
13	4	28
14	4	28
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	9	23
28	9	22
29	9	22
30	10	22
31	10	22
32	10	22
33	11	21
34	11	21
35	11	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	20
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	22	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	30	5
84	30	5
85	30	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	36	0
