iter	Passed	Remaining
0	0	444
1	0	435
2	1	444
3	1	427
4	2	416
5	2	414
6	2	401
7	3	398
8	3	395
9	3	389
10	4	394
11	4	398
12	5	395
13	5	388
14	5	387
15	6	389
16	6	389
17	7	385
18	7	379
19	7	374
20	8	373
21	8	373
22	8	375
23	9	370
24	9	373
25	9	373
26	10	377
27	10	380
28	11	380
29	11	381
30	12	383
31	12	382
32	12	379
33	13	381
34	13	376
35	14	375
36	14	375
37	14	374
38	15	372
39	15	371
40	15	370
41	16	372
42	16	375
43	17	374
44	17	374
45	17	372
46	18	370
47	18	368
48	19	368
49	19	368
50	19	367
51	20	367
52	20	365
53	20	365
54	21	364
55	21	368
56	22	367
57	22	366
58	23	367
59	23	366
60	23	365
61	24	364
62	24	363
63	24	362
64	25	362
65	25	362
66	25	361
67	26	360
68	26	361
69	27	359
70	27	360
71	27	359
72	28	359
73	28	358
74	29	358
75	29	358
76	29	358
77	30	357
78	30	356
79	30	355
80	31	354
81	31	353
82	31	349
83	31	348
84	32	347
85	32	347
86	33	347
87	33	347
88	33	346
89	34	347
90	34	347
91	35	346
92	35	345
93	35	344
94	36	343
95	36	343
96	36	343
97	37	342
98	37	342
99	37	340
100	38	339
101	38	338
102	39	339
103	39	340
104	39	339
105	40	338
106	40	338
107	40	336
108	41	336
109	41	335
110	41	334
111	42	334
112	42	335
113	43	334
114	43	333
115	43	332
116	44	332
117	44	332
118	44	332
119	45	330
120	45	329
121	45	327
122	45	326
123	46	327
124	46	327
125	47	326
126	47	325
127	47	325
128	48	324
129	48	323
130	48	323
131	49	322
132	49	321
133	49	321
134	50	321
135	50	320
136	50	320
137	51	320
138	51	319
139	52	319
140	52	318
141	52	316
142	52	316
143	53	317
144	53	317
145	54	317
146	54	316
147	54	315
148	55	315
149	55	315
150	56	314
151	56	315
152	56	314
153	57	313
154	57	312
155	57	313
156	58	313
157	58	313
158	59	313
159	59	312
160	59	311
161	60	310
162	60	311
163	60	310
164	61	310
165	61	310
166	62	310
167	62	309
168	62	309
169	63	308
170	63	308
171	63	307
172	64	306
173	64	307
174	64	306
175	65	306
176	65	306
177	66	306
178	66	306
179	67	305
180	67	305
181	67	305
182	68	304
183	68	304
184	69	304
185	69	304
186	69	303
187	70	303
188	70	302
189	71	305
190	72	308
191	73	307
192	73	307
193	73	306
194	74	306
195	74	306
196	74	305
197	75	305
198	75	305
199	76	304
200	76	304
201	76	303
202	77	303
203	77	302
204	77	301
205	78	301
206	78	301
207	78	300
208	79	299
209	79	299
210	79	298
211	80	297
212	80	297
213	80	297
214	81	296
215	81	296
216	82	296
217	82	296
218	82	295
219	83	295
220	83	294
221	83	294
222	84	293
223	84	293
224	85	292
225	85	292
226	85	291
